epoch,loss,lr,val_loss,val_y0_loss,val_y1_loss,val_y2_loss,val_y3_loss,val_y4_loss,val_y5_loss,val_y6_loss,y0_loss,y1_loss,y2_loss,y3_loss,y4_loss,y5_loss,y6_loss
0,1.4602210521697998,1e-04,1.334035873413086,0.17530634999275208,0.19569076597690582,0.17799851298332214,0.17721019685268402,0.19369691610336304,0.19455230236053467,0.2195802479982376,0.19669707119464874,0.19995681941509247,0.20005516707897186,0.20456282794475555,0.20659704506397247,0.2213297188282013,0.23102140426635742
1,0.8659177422523499,1e-04,1.3539596796035767,0.18103092908859253,0.19794048368930817,0.19038070738315582,0.1720632016658783,0.18792660534381866,0.20296545326709747,0.22165191173553467,0.10970591753721237,0.1123647689819336,0.11487215757369995,0.11978482455015182,0.1230316087603569,0.13276304304599762,0.1533951461315155
2,0.679141104221344,1e-04,1.1718946695327759,0.16116343438625336,0.169801265001297,0.17539134621620178,0.15556877851486206,0.16001537442207336,0.1692943572998047,0.18066002428531647,0.08335947245359421,0.0852932333946228,0.08781581372022629,0.09257536381483078,0.09650985896587372,0.10580708831548691,0.12777920067310333
3,0.5723317265510559,1e-04,1.3745989799499512,0.1806178241968155,0.18202809989452362,0.18636560440063477,0.18426448106765747,0.19483284652233124,0.21501284837722778,0.2314760535955429,0.0684407576918602,0.06988068670034409,0.0725850835442543,0.07682210206985474,0.08099188655614853,0.09053182601928711,0.11307910084724426
4,0.4985446035861969,1e-04,1.0917893648147583,0.139444500207901,0.1459314078092575,0.15610671043395996,0.15068748593330383,0.15665940940380096,0.1608457863330841,0.18211455643177032,0.05800255388021469,0.05906795337796211,0.06176194176077843,0.06596177071332932,0.07056973874568939,0.08014380186796188,0.1030353307723999
5,0.4338812232017517,1e-04,1.18606436252594,0.15348614752292633,0.15872378647327423,0.17032213509082794,0.16961240768432617,0.1593903750181198,0.1799481213092804,0.19458182156085968,0.049272067844867706,0.05001809448003769,0.05249588564038277,0.05637631565332413,0.06112175062298775,0.07081034034490585,0.09378789365291595
6,0.3891529142856598,1e-04,0.9632781147956848,0.12282589823007584,0.12684209644794464,0.1357237547636032,0.14885595440864563,0.13277935981750488,0.1423858255147934,0.1538652777671814,0.04326583072543144,0.04390188306570053,0.04632851481437683,0.0498008206486702,0.05459064990282059,0.06422897428274155,0.08703641593456268
7,0.3600861728191376,1e-04,1.3051084280014038,0.16031824052333832,0.1529477834701538,0.18300768733024597,0.2009531557559967,0.1955011785030365,0.20664596557617188,0.2057347595691681,0.03955047205090523,0.040130261331796646,0.042255811393260956,0.045365720987319946,0.05007579177618027,0.059816259890794754,0.08289209753274918
8,0.3216908574104309,1e-04,1.4975749254226685,0.2003924399614334,0.19306083023548126,0.23842349648475647,0.24713851511478424,0.23020698130130768,0.21599029004573822,0.17236290872097015,0.03443143516778946,0.034782525151968,0.036623988300561905,0.03993736952543259,0.044741515070199966,0.05429413542151451,0.07688048481941223
9,0.3157084882259369,1e-04,1.2375284433364868,0.1470872014760971,0.1547127366065979,0.1783725768327713,0.16568021476268768,0.16913193464279175,0.19550132751464844,0.2270420491695404,0.033414799720048904,0.03382233530282974,0.035893216729164124,0.0390973724424839,0.04389680176973343,0.05349968001246452,0.07608429342508316
